CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,ADDRESS,CITY,STATE,Location
STOLEN VEHICLE,04/21/2020 07:00:00 PM,20-020488,VEHICLE THEFT - AUTO,08X,400 38TH ST,Oakland,CA,"400 38TH ST
Oakland, CA
(37.826509, -122.260286)"
BURG - AUTO,04/19/2020 04:35:00 AM,20-909155,BURGLARY-AUTO,05X,1700 BRUSH ST,Oakland,CA,"1700 BRUSH ST
Oakland, CA
(37.809178, -122.277099)"
GRAND THEFT,04/28/2020 06:10:00 PM,20-909436,THEFT,04X,1800 JEFFERSON ST,Oakland,CA,"1800 JEFFERSON ST
Oakland, CA
(37.808197, -122.273246)"
,03/13/2020 05:00:00 PM,20-014306,KIDNAPPING,31X,LEET DR & PENDLETON WY,Oakland,CA,"LEET DR & PENDLETON WY
Oakland, CA
(37.735035, -122.200884)"
STOLEN VEHICLE,01/24/2020 10:15:00 PM,20-904752,ATTEMPT VEHICLE THEFT-AUTO,03Y,500 10TH ST,Oakland,CA,"500 10TH ST
Oakland, CA
(37.801958, -122.273972)"
DUI,04/16/2020 09:28:00 PM,20-019550,DUI ALCOHOL/DRUGS,27X,HIGH ST & SANTA RITA ST,Oakland,CA,"HIGH ST & SANTA RITA ST
Oakland, CA
(37.779782, -122.206813)"
MISDEMEANOR ASSAULT,04/16/2020 09:59:00 PM,20-019556,ASSAULT,08X,38TH ST & SHAFTER AV,Oakland,CA,"38TH ST & SHAFTER AV
Oakland, CA
(37.826509, -122.260286)"
,03/14/2020 02:00:00 AM,20-014368,ASLT W/FIREARM ON PERSON,20X,1500 26TH AV,Oakland,CA,"1500 26TH AV
Oakland, CA
(37.782347, -122.231659)"
FORGERY & COUNTERFEITING,04/07/2020 12:38:00 PM,20-908197,THEFT BY USE OF ACCESS CARD,21Y,2800 SCHOOL ST,Oakland,CA,"2800 SCHOOL ST
Oakland, CA
(37.795578, -122.21649)"
,04/23/2020 04:10:00 PM,20-020640,DISTURB THE PEACE,17X,1800 PARK BLVD,Oakland,CA,"1800 PARK BLVD
Oakland, CA
(37.799143, -122.25096)"
,03/04/2020 02:00:00 AM,20-014472,VEHICLE THEFT - AUTO,19X,1100 3RD AV,Oakland,CA,"1100 3RD AV
Oakland, CA
(37.795965, -122.257256)"
FORGERY & COUNTERFEITING,09/10/2019 10:00:00 AM,20-015429,OFFER/ETC FALSE/FORGED INSTRUMENT TO FILE,13Z,7100 SNAKE RD,Oakland,CA,"7100 SNAKE RD
Oakland, CA
(37.837502, -122.201173)"
DOMESTIC VIOLENCE,01/31/2020 12:00:00 PM,20-007207,CRUELTY TO ELDER/DEPENDENT ADULT,06X,900 35TH ST,Oakland,CA,"900 35TH ST
Oakland, CA
(37.825542, -122.275198)"
DOMESTIC VIOLENCE,02/19/2020 06:21:00 PM,20-009793,PROBATION REVOKED/ETC,32Y,10000 MACARTHUR BLVD,Oakland,CA,"10000 MACARTHUR BLVD
Oakland, CA
(37.745864, -122.156078)"
VANDALISM,04/16/2020 07:40:00 AM,20-908725,VANDALISM,14X,500 BELLEVUE AV,Oakland,CA,"500 BELLEVUE AV
Oakland, CA
(37.807743, -122.253989)"
DUI,04/20/2020 08:08:00 PM,20-020151,DUI ALCOHOL/DRUGS,02Y,7TH ST & WILLOW ST,Oakland,CA,"7TH ST & WILLOW ST
Oakland, CA
(37.806666, -122.30083)"
BURG - COMMERCIAL,04/10/2020 04:00:00 AM,20-018579,VEHICLE THEFT - AUTO,32X,9900 INTERNATIONAL BLVD,Oakland,CA,"9900 INTERNATIONAL BLVD
Oakland, CA
(37.743455, -122.169753)"
,03/14/2020 12:00:00 PM,20-014428,BURGLARY-FORCIBLE ENTRY,24Y,3500 ALLENDALE AV,Oakland,CA,"3500 ALLENDALE AV
Oakland, CA
(37.789002, -122.208629)"
,04/26/2020 12:11:00 AM,20-021020,ANYONE WHO WILLFULLY DISCHARGES A FIREARM IN A GROSSLY NEGLIGENT MANNER,27Y,2000 55TH AV,Oakland,CA,"2000 55TH AV
Oakland, CA
(37.770663, -122.198652)"
,03/14/2020 03:35:00 AM,20-014373,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",02X,800 POPLAR CT,Oakland,CA,"800 POPLAR CT
Oakland, CA
(37.805653, -122.291296)"
FELONY ASSAULT,04/23/2020 06:30:00 PM,20-020246,VEHICLE THEFT - AUTO,24Y,PORTER ST & MAYBELLE WY,Oakland,CA,"PORTER ST & MAYBELLE WY
Oakland, CA
(37.787272, -122.198344)"
BURG - AUTO,02/25/2020 08:11:00 AM,20-905887,BURGLARY-AUTO,03X,300 10TH ST,Oakland,CA,"300 10TH ST
Oakland, CA
(37.800161, -122.269343)"
FRAUD,11/25/2019 02:00:00 PM,20-905062,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,21Y,3100 BROOKDALE AV,Oakland,CA,"3100 BROOKDALE AV
Oakland, CA
(37.79176, -122.214794)"
,04/22/2020 04:17:00 PM,20-021267,VEHICLE THEFT - AUTO,29X,4000 EDWARDS AVE,Oakland,CA,"4000 EDWARDS AVE
Oakland, CA
(37.775241, -122.165915)"
RECOVERED O/S STOLEN,03/09/2020 06:46:00 PM,20-013792,VEHICLE THEFT - AUTO,30X,1500 76TH AV,Oakland,CA,"1500 76TH AV
Oakland, CA
(37.759572, -122.182793)"
DOMESTIC VIOLENCE,04/16/2020 07:30:00 PM,20-019552,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,32X,9900 INTERNATIONAL BLVD,Oakland,CA,"9900 INTERNATIONAL BLVD
Oakland, CA
(37.743455, -122.169753)"
DOMESTIC VIOLENCE,02/28/2020 08:00:00 AM,20-014207,ELDER/DEP ADLT:HARM/DEATH,13X,6200 BROADWAY TER,Oakland,CA,"6200 BROADWAY TER
Oakland, CA
(37.842896, -122.231659)"
HOMICIDE,04/21/2020 02:00:00 PM,20-020517,SC UNEXPLAINED DEATH,09X,00 LINDA AV,Oakland,CA,"00 LINDA AV
Oakland, CA"
BURG - AUTO,02/05/2020 08:00:00 PM,20-904087,BURGLARY-AUTO,08X,2200 TELEGRAPH AV,Oakland,CA,"2200 TELEGRAPH AV
Oakland, CA
(37.811582, -122.269056)"
BURG - AUTO,04/12/2020 04:00:00 PM,20-908452,BURGLARY-AUTO,33X,9600 ARMSTRONG DR,Oakland,CA,"9600 ARMSTRONG DR
Oakland, CA
(37.742197, -122.179414)"
GRAND THEFT,04/08/2020 12:30:00 AM,20-908234,THEFT,09X,00 MONTELL ST,Oakland,CA,"00 MONTELL ST
Oakland, CA"
STOLEN VEHICLE,04/22/2020 09:00:00 AM,20-020601,VEHICLE THEFT - AUTO,31Y,300 CASWELL AV,Oakland,CA,"300 CASWELL AV
Oakland, CA
(37.733136, -122.188335)"
FRAUD,04/16/2020 01:30:00 PM,20-020067,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,31Y,100 HEGENBERGER LOOP,Oakland,CA,"100 HEGENBERGER LOOP
Oakland, CA
(37.734759, -122.195841)"
FORCIBLE RAPE,02/16/2020 04:30:00 AM,20-009420,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,02X,1200 8TH ST,Oakland,CA,"1200 8TH ST
Oakland, CA
(37.805125, -122.289094)"
,03/13/2020 11:45:00 PM,20-014357,MISD-ILL USE OF TEAR GAS/TEAR GAS WEAPON,31X,400 HEGENBERGER RD,Oakland,CA,"400 HEGENBERGER RD
Oakland, CA
(37.735772, -122.197083)"
,03/11/2020 08:00:00 PM,20-014465,THEFT,15X,700 HILLGIRT CIR,Oakland,CA,"700 HILLGIRT CIR
Oakland, CA
(37.807428, -122.242981)"
ROBBERY,04/20/2020 08:00:00 AM,20-020084,KIDNAPPING,23X,3300 INTERNATIONAL BLVD,Oakland,CA,"3300 INTERNATIONAL BLVD
Oakland, CA
(37.777007, -122.224489)"
GRAND THEFT,04/26/2020 12:05:00 AM,20-909402,MAIL/ETC THEFT/ETC,02Y,1700 12TH ST,Oakland,CA,"1700 12TH ST
Oakland, CA
(37.81123, -122.297639)"
PETTY THEFT,03/12/2020 12:00:00 PM,20-014205,THEFT,27X,2400 COLE ST,Oakland,CA,"2400 COLE ST
Oakland, CA
(37.775134, -122.198706)"
VANDALISM,04/27/2020 11:30:00 AM,20-909400,VANDALISM,22Y,JOAQUIN MILLER RD & CROCKETT PL,Oakland,CA,"JOAQUIN MILLER RD & CROCKETT PL
Oakland, CA
(37.808603, -122.181105)"
,02/17/2020 07:00:00 PM,20-014447,THEFT,34X,1800 96TH AV,Oakland,CA,"1800 96TH AV
Oakland, CA
(37.7478, -122.167181)"
BURG - AUTO,02/29/2020 07:45:00 AM,20-011658,BURGLARY-AUTO,30Y,7200 BANCROFT AV,Oakland,CA,"7200 BANCROFT AV
Oakland, CA
(37.766093, -122.177258)"
STOLEN VEHICLE,03/21/2020 04:30:00 PM,20-015701,VEHICLE THEFT - AUTO,09X,00 BAYO VISTA AV,Oakland,CA,"00 BAYO VISTA AV
Oakland, CA"
OTHER SEX OFFENSES,02/20/2020 05:25:00 PM,20-010006,DISORDERLY CONDUCT:PROSTITUTION,19X,"E15TH ST., & 19TH AVE",Oakland,CA,"E15TH ST., & 19TH AVE
Oakland, CA"
BURG - AUTO,02/19/2020 05:05:00 AM,20-905014,BURGLARY-AUTO,33X,1300 81ST AV,Oakland,CA,"1300 81ST AV
Oakland, CA
(37.754578, -122.182975)"
,03/14/2020 10:50:00 AM,20-014441,THREAT CRIME:INT:TERRORIZE,21X,2600 LOGAN ST,Oakland,CA,"2600 LOGAN ST
Oakland, CA
(37.78901, -122.22453)"
GRAND THEFT,04/07/2020 03:20:00 PM,20-908196,GRAND THEFT,26X,400 HIGH ST,Oakland,CA,"400 HIGH ST
Oakland, CA
(37.76593, -122.223338)"
,03/13/2020 02:45:00 PM,20-014272,BURGLARY-AUTO,31X,8300 OAKPORT ST,Oakland,CA,"8300 OAKPORT ST
Oakland, CA
(37.740751, -122.198347)"
BURG - AUTO,02/06/2020 05:25:00 AM,20-007307,BURGLARY-AUTO,25X,3500 HIGH ST,Oakland,CA,"3500 HIGH ST
Oakland, CA
(37.786938, -122.195592)"
PETTY THEFT,04/07/2020 02:15:00 AM,20-908181,MAIL/ETC THEFT/ETC,08X,200 FAIRMOUNT AV,Oakland,CA,"200 FAIRMOUNT AV
Oakland, CA
(37.817489, -122.260024)"
BURG - AUTO,02/12/2020 11:00:00 AM,20-008515,BURGLARY-AUTO,13Z,6200 WESTOVER DR,Oakland,CA,"6200 WESTOVER DR
Oakland, CA
(37.829508, -122.19735)"
RECOVERED O/S STOLEN,03/17/2020 09:32:00 AM,20-014899,VEHICLE THEFT - AUTO,25Y,5700 REDWOOD RD,Oakland,CA,"5700 REDWOOD RD
Oakland, CA
(37.799552, -122.170839)"
VANDALISM,01/29/2020 06:30:00 AM,20-904679,VANDALISM,12Y,5900 KEITH AV,Oakland,CA,"5900 KEITH AV
Oakland, CA
(37.845821, -122.247497)"
GRAND THEFT,04/07/2020 03:00:00 PM,20-908501,THEFT,20X,3000 E 9TH ST,Oakland,CA,"3000 E 9TH ST
Oakland, CA
(37.774568, -122.231174)"
BURG - AUTO,04/11/2020 10:00:00 PM,20-908491,BURGLARY-AUTO,04X,1500 WEBSTER ST,Oakland,CA,"1500 WEBSTER ST
Oakland, CA
(37.804363, -122.268175)"
,05/11/2020 04:01:00 AM,20-022046,VEHICLE THEFT - AUTO,26Y,81ST AV&RUDSDALE ST,Oakland,CA,"81ST AV&RUDSDALE ST
Oakland, CA"
,03/13/2020 03:00:00 PM,20-014390,THEFT,19X,2200 INTERNATIONAL BLVD,Oakland,CA,"2200 INTERNATIONAL BLVD
Oakland, CA
(37.784403, -122.237608)"
VANDALISM,03/13/2020 06:45:00 PM,20-014314,VANDALISM,26Y,1200 73RD AV,Oakland,CA,"1200 73RD AV
Oakland, CA
(37.758047, -122.189023)"
NARCOTICS,04/21/2020 10:56:00 AM,20-020244,TRANSPORT/SELL NARCOTIC/CONTROLLED SUBSTANCE,19X,2200 E 12TH ST,Oakland,CA,"2200 E 12TH ST
Oakland, CA
(37.78366, -122.238411)"
THREATS,01/24/2020 01:13:00 PM,20-004489,EXHIBIT DEADLY WEAPON OTHER THAN FIREARM,06X,2200 SAN PABLO AV,Oakland,CA,"2200 SAN PABLO AV
Oakland, CA
(37.812471, -122.273819)"
STOLEN VEHICLE,04/07/2020 06:00:00 AM,20-018374,VEHICLE THEFT - AUTO,25X,3600 HARBOR VIEW AV,Oakland,CA,"3600 HARBOR VIEW AV
Oakland, CA
(37.796678, -122.193826)"
PETTY THEFT,02/06/2020 12:00:00 PM,20-007631,THEFT,07X,1500 40TH ST,Oakland,CA,"1500 40TH ST
Oakland, CA
(37.828822, -122.290435)"
GRAND THEFT,04/27/2020 07:40:00 AM,20-909392,THEFT,22X,3500 FRUITVALE AV,Oakland,CA,"3500 FRUITVALE AV
Oakland, CA
(37.800418, -122.216111)"
,04/12/2020 02:40:00 PM,20-019298,VEHICLE THEFT - AUTO,30Y,2600 73RD AV,Oakland,CA,"2600 73RD AV
Oakland, CA
(37.766901, -122.175421)"
FELONY ASSAULT,03/17/2020 04:46:00 PM,20-014954,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,31Y,9900 EMPIRE RD,Oakland,CA,"9900 EMPIRE RD
Oakland, CA
(37.729192, -122.189404)"
,03/14/2020 08:10:00 AM,20-014388,CARJACKING WITH OTHER DANGEROUS WEAPON,33X,1300 93RD AV,Oakland,CA,"1300 93RD AV
Oakland, CA
(37.747045, -122.174806)"
BURG - AUTO,04/13/2020 02:00:00 AM,20-908652,THEFT,04X,1500 JEFFERSON ST,Oakland,CA,"1500 JEFFERSON ST
Oakland, CA
(37.806397, -122.274361)"
STOLEN VEHICLE,02/15/2020 07:30:00 PM,20-009385,VEHICLE THEFT - AUTO,30Y,7700 HILLSIDE ST,Oakland,CA,"7700 HILLSIDE ST
Oakland, CA
(37.765937, -122.171044)"
VANDALISM,01/31/2020 08:30:00 PM,20-007416,VANDALISM,04X,500 16TH ST,Oakland,CA,"500 16TH ST
Oakland, CA
(37.806105, -122.270484)"
THREATS,02/14/2020 12:00:00 PM,20-008844,THREAT CRIME:INT:TERRORIZE,32X,9800 A ST,Oakland,CA,"9800 A ST
Oakland, CA
(37.742852, -122.172714)"
STOLEN VEHICLE,02/27/2020 06:00:00 PM,20-011855,VEHICLE THEFT - AUTO,31Y,100 98TH AV,Oakland,CA,"100 98TH AV
Oakland, CA
(37.728129, -122.197428)"
FELONY ASSAULT,02/25/2020 08:55:00 PM,20-010961,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,10Y,45TH ST & MARTIN LUTHER KING JR WY,Oakland,CA,"45TH ST & MARTIN LUTHER KING JR WY
Oakland, CA
(37.83358, -122.267465)"
,03/13/2020 09:55:00 PM,20-014350,BURGLARY-FORCIBLE ENTRY,12X,4900 TELEGRAPH AV,Oakland,CA,"4900 TELEGRAPH AV
Oakland, CA
(37.836153, -122.262569)"
WEAPONS,04/20/2020 02:05:00 PM,20-020100,CARRY LOADED HANDGUN: NOT REG OWNER,24Y,2600 39TH AV,Oakland,CA,"2600 39TH AV
Oakland, CA
(37.785053, -122.206393)"
BURG - RESIDENTIAL,04/07/2020 09:00:00 PM,20-908233,BURGLARY-FORCIBLE ENTRY,13Y,5900 THORNHILL DR,Oakland,CA,"5900 THORNHILL DR
Oakland, CA
(37.836543, -122.211483)"
FORGERY & COUNTERFEITING,02/29/2020 10:55:00 AM,20-907326,MAKE/PASS FICTITIOUS CHECK,04X,1600 FRANKLIN ST,Oakland,CA,"1600 FRANKLIN ST
Oakland, CA
(37.805391, -122.268994)"
STOLEN VEHICLE,04/22/2020 10:48:00 AM,20-020411,VEHICLE THEFT - AUTO,30Y,2700 78TH AV,Oakland,CA,"2700 78TH AV
Oakland, CA
(37.765399, -122.17067)"
GRAND THEFT,04/11/2020 12:41:00 PM,20-908447,MAIL/ETC THEFT/ETC,25X,4100 PATTERSON AV,Oakland,CA,"4100 PATTERSON AV
Oakland, CA
(37.795182, -122.191456)"
MISDEMEANOR ASSAULT,05/09/2020 03:40:00 PM,20-023277,BATTERY,07X,3400 MAGNOLIA ST,Oakland,CA,"3400 MAGNOLIA ST
Oakland, CA
(37.825935, -122.281367)"
,05/10/2020 08:30:00 AM,20-023474,VEHICLE THEFT - AUTO,13X,5600 KALES AV,Oakland,CA,"5600 KALES AV
Oakland, CA
(37.842393, -122.247355)"
PETTY THEFT,04/17/2020 08:00:00 PM,20-020397,THEFT,30Y,8000 FONTAINE ST,Oakland,CA,"8000 FONTAINE ST
Oakland, CA
(37.770404, -122.155555)"
,04/25/2020 06:00:00 PM,20-021416,VEHICLE THEFT - AUTO,14X,400 PERKINS ST,Oakland,CA,"400 PERKINS ST
Oakland, CA
(37.810466, -122.255453)"
,04/28/2020 08:30:00 AM,20-021389,TRESPASS:OCCUPY PROPERTY W/O CONSENT,14X,400 BELLEVUE AV,Oakland,CA,"400 BELLEVUE AV
Oakland, CA
(37.810562, -122.252517)"
,04/27/2020 10:30:00 PM,20-021377,VEHICLE THEFT - AUTO,19X,IFO 212 15TH ST,Oakland,CA,"IFO 212 15TH ST
Oakland, CA"
,05/11/2020 01:30:00 PM,20-023550,VIOLATE COURT ORDER TO PREVENT DOMESTIC VIOLENCE,32Y,2000 105TH AV,Oakland,CA,"2000 105TH AV
Oakland, CA
(37.741128, -122.160581)"
PETTY THEFT,01/10/2020 08:00:00 AM,20-019941,THEFT,20X,1000 CALCOT PL,Oakland,CA,"1000 CALCOT PL
Oakland, CA
(37.780108, -122.237806)"
OTHER,04/12/2020 08:02:00 PM,20-018924,ELDER/DEP ADLT:HARM/DEATH,26Y,6700 LION WY,Oakland,CA,"6700 LION WY
Oakland, CA
(37.757934, -122.197695)"
VANDALISM,02/28/2020 01:00:00 PM,20-906805,VANDALISM,31Y,10000 DOOLITTLE DR,Oakland,CA,"10000 DOOLITTLE DR
Oakland, CA
(37.723849, -122.196506)"
DOMESTIC VIOLENCE,03/21/2020 12:16:00 PM,20-015568,DEPRIVE RIGHT OF CUSTODY/VISITATION,17Y,1400 E 32ND ST,Oakland,CA,"1400 E 32ND ST
Oakland, CA
(37.799997, -122.231124)"
PETTY THEFT,03/20/2020 05:00:00 PM,20-015556,THEFT,24X,1900 CROSBY AV,Oakland,CA,"1900 CROSBY AV
Oakland, CA
(37.781539, -122.218896)"
GRAND THEFT,03/21/2020 01:21:00 PM,20-015549,GRAND THEFT,12X,5000 TELEGRAPH AV,Oakland,CA,"5000 TELEGRAPH AV
Oakland, CA
(37.83653, -122.262463)"
,05/11/2020 07:15:00 PM,20-023569,SHOOT AT UNOCCUPIED DWELLING/VEHICLE/ETC,19X,1500 BLK E 12TH ST,Oakland,CA,"1500 BLK E 12TH ST
Oakland, CA
(37.787943, -122.245701)"
,03/14/2020 05:52:00 AM,20-014384,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,27X,1600 45TH AV,Oakland,CA,"1600 45TH AV
Oakland, CA
(37.772774, -122.21191)"
BURG - AUTO,04/23/2020 10:45:00 AM,20-909409,BURGLARY-AUTO,16X,1200 TRESTLE GLEN RD,Oakland,CA,"1200 TRESTLE GLEN RD
Oakland, CA
(37.807202, -122.230825)"
PETTY THEFT,04/07/2020 10:20:00 AM,20-908176,MAIL/ETC THEFT/ETC,09X,100 W MACARTHUR BLVD,Oakland,CA,"100 W MACARTHUR BLVD
Oakland, CA
(37.821028, -122.254405)"
STOLEN VEHICLE,03/23/2020 10:00:00 AM,20-016027,VEHICLE THEFT - AUTO,21Y,3100 DAVIS ST,Oakland,CA,"3100 DAVIS ST
Oakland, CA
(37.789836, -122.220185)"
DOMESTIC VIOLENCE,02/28/2020 08:00:00 AM,20-014207,CONSPIRACY:DEFRAUD/ETC PERSON,13X,6200 BROADWAY TER,Oakland,CA,"6200 BROADWAY TER
Oakland, CA
(37.842896, -122.231659)"
BURG - COMMERCIAL,04/05/2020 04:35:00 PM,20-908198,BURGLARY-NO FORCE,14X,400 BELLEVUE AV,Oakland,CA,"400 BELLEVUE AV
Oakland, CA
(37.810562, -122.252517)"
PETTY THEFT,04/19/2020 12:55:00 PM,20-019935,SHOPLIFTING-COMMERCIAL ESTABLISHMENT WITH INTENT WHERE VALUE DOES NOT EXCEED $950,16X,3200 LAKESHORE AV,Oakland,CA,"3200 LAKESHORE AV
Oakland, CA
(37.810256, -122.245497)"
,05/04/2020 07:45:00 AM,20-022336,SC UNEXPLAINED DEATH,21X,2100 24TH AV,Oakland,CA,"2100 24TH AV
Oakland, CA
(37.787557, -122.229527)"
PETTY THEFT,03/22/2020 09:00:00 AM,20-015694,THEFT,26X,5400 INTERNATIONAL BLVD,Oakland,CA,"5400 INTERNATIONAL BLVD
Oakland, CA
(37.767914, -122.20551)"
GRAND THEFT,04/08/2020 08:00:00 AM,20-908224,GRAND THEFT,05X,1500 MARKET ST,Oakland,CA,"1500 MARKET ST
Oakland, CA
(37.808947, -122.28051)"
BURG - AUTO,04/13/2020 12:20:00 AM,20-908495,BURGLARY-AUTO,28X,5300 WALNUT ST,Oakland,CA,"5300 WALNUT ST
Oakland, CA
(37.776325, -122.195677)"
,04/24/2020 11:50:00 AM,20-020769,THEFT,35X,2600 ALVINGROOM CT,Oakland,CA,"2600 ALVINGROOM CT
Oakland, CA
(37.761023, -122.163434)"
,04/27/2020 10:05:00 PM,20-021332,CARRY LOADED HANDGUN: NOT REG OWNER,32Y,10100 MACARTHUR BLVD,Oakland,CA,"10100 MACARTHUR BLVD
Oakland, CA
(37.744722, -122.154378)"
GRAND THEFT,02/15/2016 10:35:00 AM,20-908458,GRAND THEFT,08X,2800 BROADWAY,Oakland,CA,"2800 BROADWAY
Oakland, CA
(37.816574, -122.263462)"
WEAPONS,05/09/2020 08:15:00 PM,20-023296,CARRY LOADED FIREARM ON/IN PERSON/VEH: PUBLIC PLACE,27Y,2300 SEMINARY AV,Oakland,CA,"2300 SEMINARY AV
Oakland, CA
(37.769626, -122.193118)"
MISDEMEANOR ASSAULT,04/20/2020 04:01:00 PM,20-020116,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,03X,6TH ST & BROADWAY,Oakland,CA,"6TH ST & BROADWAY
Oakland, CA
(37.798822, -122.274677)"
,04/26/2020 01:21:00 PM,20-021092,POSSESS CONTROLLED SUBSTANCE PARAPHERNALIA,31Z,800 MOORPARK ST,Oakland,CA,"800 MOORPARK ST
Oakland, CA
(37.732159, -122.173738)"
,04/18/2020 04:00:00 AM,20-021371,VANDALISM,35X,8300 ASTER AV,Oakland,CA,"8300 ASTER AV
Oakland, CA
(37.764192, -122.160557)"
,04/28/2020 12:20:00 PM,20-021353,THEFT,02X,600 MARKET ST.,Oakland,CA,"600 MARKET ST.
Oakland, CA
(37.847317, -122.265447)"
ROBBERY,02/15/2020 10:08:00 AM,20-008965,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",32Y,10700 MACARTHUR BLVD,Oakland,CA,"10700 MACARTHUR BLVD
Oakland, CA
(37.741775, -122.150612)"
VANDALISM,04/16/2020 02:35:00 PM,20-908695,VANDALISM,77X,JOAQUIN MILLER,Oakland,CA,"JOAQUIN MILLER
Oakland, CA"
STOLEN VEHICLE,03/22/2020 07:49:00 PM,20-015736,VEHICLE THEFT - AUTO,35X,9200 BANCROFT AV,Oakland,CA,"9200 BANCROFT AV
Oakland, CA
(37.752368, -122.16464)"
BURG - AUTO,03/09/2020 01:00:00 AM,20-013289,BURGLARY-AUTO,01X,400 3RD ST,Oakland,CA,"400 3RD ST
Oakland, CA
(37.796218, -122.274569)"
PETTY THEFT,04/01/2020 02:00:00 PM,20-018378,THEFT,14X,200 VERNON ST,Oakland,CA,"200 VERNON ST
Oakland, CA
(37.813509, -122.258949)"
BURG - AUTO,04/25/2020 05:25:00 AM,20-909416,BURGLARY-AUTO,27X,4300 BROOKDALE AV,Oakland,CA,"4300 BROOKDALE AV
Oakland, CA
(37.78253, -122.204159)"
VANDALISM,03/22/2020 03:00:00 AM,20-015711,VANDALISM-$400+,30X,2000 81ST AV,Oakland,CA,"2000 81ST AV
Oakland, CA
(37.759933, -122.172723)"
FELONY ASSAULT,03/28/2020 08:36:00 PM,20-016628,CARRY LOADED FIREARM:UNLAWFUL/PROHIBATED POSSESSION,27Y,6500 INTERNATIONAL BLVD,Oakland,CA,"6500 INTERNATIONAL BLVD
Oakland, CA
(37.762638, -122.19431)"
ROBBERY,02/29/2020 05:30:00 PM,20-011730,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",20X,3000 E 9TH ST,Oakland,CA,"3000 E 9TH ST
Oakland, CA
(37.774568, -122.231174)"
PETTY THEFT,03/17/2020 03:00:00 PM,20-015709,THEFT,27X,1500 45TH AV,Oakland,CA,"1500 45TH AV
Oakland, CA
(37.772478, -122.212132)"
ROBBERY,03/10/2020 07:30:00 AM,20-013586,ROBBERY-FIREARM,14X,200 EUCLID AV,Oakland,CA,"200 EUCLID AV
Oakland, CA
(37.815684, -122.253586)"
BURG - AUTO,03/04/2020 08:20:00 PM,20-906415,BURGLARY-AUTO,09X,3800 BROADWAY,Oakland,CA,"3800 BROADWAY
Oakland, CA
(37.825927, -122.257629)"
BURG - RESIDENTIAL,03/04/2020 07:00:00 AM,20-013640,BURGLARY-FORCIBLE ENTRY,13Y,700 MOUNTAIN BLVD,Oakland,CA,"700 MOUNTAIN BLVD
Oakland, CA
(37.843494, -122.222882)"
STOLEN VEHICLE,03/11/2020 01:50:00 AM,20-014036,VEHICLE THEFT - AUTO,03X,1200 BROADWAY,Oakland,CA,"1200 BROADWAY
Oakland, CA
(37.803128, -122.271954)"
WEAPONS,04/12/2020 01:25:00 PM,20-018883,CARRY LOADED FIREARM WITH INTENT TO COMMIT A FELONY,26Y,1300 65TH AV,Oakland,CA,"1300 65TH AV
Oakland, CA
(37.761958, -122.195142)"
BURG - OTHER,04/07/2020 11:00:00 PM,20-908226,THEFT,12Y,5200 CLAREMONT AV,Oakland,CA,"5200 CLAREMONT AV
Oakland, CA
(37.838428, -122.261494)"
STOLEN VEHICLE,03/26/2020 02:10:00 PM,20-016286,VEHICLE THEFT - AUTO,07X,2300 WOOD ST,Oakland,CA,"2300 WOOD ST
Oakland, CA
(37.819785, -122.292646)"
FORCIBLE RAPE,02/16/2020 04:30:00 AM,20-009420,SODOMY,02X,1200 8TH ST,Oakland,CA,"1200 8TH ST
Oakland, CA
(37.805125, -122.289094)"
RECOVERED O/S STOLEN,04/20/2020 12:48:00 PM,20-020086,VEHICLE THEFT - AUTO,32X,1100 102ND AV,Oakland,CA,"1100 102ND AV
Oakland, CA
(37.738987, -122.172969)"
PETTY THEFT,04/17/2020 04:00:00 PM,20-019928,THEFT,26X,1200 44TH AV,Oakland,CA,"1200 44TH AV
Oakland, CA
(37.771508, -122.214387)"
STOLEN VEHICLE,02/16/2020 08:00:00 PM,20-015863,VEHICLE THEFT - AUTO,08X,3400 RICHMOND BLVD,Oakland,CA,"3400 RICHMOND BLVD
Oakland, CA
(37.82049, -122.258265)"
FRAUD,09/23/2015 09:10:00 AM,20-908179,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,19X,1400 10TH AV,Oakland,CA,"1400 10TH AV
Oakland, CA
(37.792316, -122.249352)"
,05/13/2020 05:37:00 PM,20-023912,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",23X,1100 BLK 37TH AV,Oakland,CA,"1100 BLK 37TH AV
Oakland, CA
(37.773721, -122.222001)"
